City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,2.77,90,100,4.12,US,1677961407
1,vaini,-21.2,-175.2,29.09,84,75,5.14,TO,1677961515
2,albany,42.6001,-73.9662,3.15,89,100,1.83,US,1677961253
3,ulladulla,-35.35,150.4667,17.49,92,12,2.85,AU,1677961516
4,igarka,67.4667,86.5833,-25.27,99,100,2.29,RU,1677961517
5,caravelas,-17.7125,-39.2481,27.03,67,45,3.38,BR,1677961517
6,los llanos de aridane,28.6585,-17.9182,17.86,91,20,0.89,ES,1677961518
7,rikitea,-23.1203,-134.9692,26.57,76,100,7.49,PF,1677961355
8,margate,51.3813,1.3862,6.61,82,100,5.88,GB,1677961332
9,carnarvon,-24.8667,113.6333,25.31,68,0,9.95,AU,1677961520
10,torbay,47.6666,-52.7314,-1.9,56,20,10.8,CA,1677961520
11,atuona,-9.8,-139.0333,26.63,80,14,6.45,PF,1677961521
12,dali,25.7,100.1833,8.56,53,0,1.81,CN,1677961522
13,qaanaaq,77.484,-69.3632,-12.32,45,0,3.81,GL,1677961308
14,hermanus,-34.4187,19.2345,19.33,92,100,4.6,ZA,1677961523
15,bluff,-46.6,168.3333,9.89,65,79,3.4,NZ,1677961297
16,castro,-24.7911,-50.0119,21.97,89,56,3.26,BR,1677961524
17,erenhot,43.6475,111.9767,1.66,28,55,4.73,CN,1677961525
18,mataura,-46.1927,168.8643,9.71,95,76,0.2,NZ,1677961526
19,dudinka,69.4058,86.1778,-24.66,98,100,2.64,RU,1677961526
20,claveria,18.6074,121.0832,20.25,83,86,5.94,PH,1677961527
21,port hardy,50.6996,-127.4199,7.1,70,40,4.12,CA,1677961495
22,butaritari,3.0707,172.7902,27.19,78,100,3.23,KI,1677961528
23,poum,-20.2333,164.0167,26.72,77,6,2.36,NC,1677961272
24,cape town,-33.9258,18.4232,22.99,80,75,2.57,ZA,1677960991
25,tuktoyaktuk,69.4541,-133.0374,-34.0,68,20,2.57,CA,1677961530
26,kemijarvi,66.7131,27.4306,-6.51,97,100,0.5,FI,1677961530
27,campoverde,-8.4753,-74.8058,30.83,50,98,1.79,PE,1677961531
28,tual,-5.6667,132.75,27.87,78,100,9.24,ID,1677961204
29,gat,31.61,34.7642,19.11,52,0,1.49,IL,1677961532
30,asuncion,-25.3007,-57.6359,33.83,52,75,2.06,PY,1677961479
31,chicama,-7.8447,-79.1469,25.3,57,95,4.98,PE,1677961533
32,olafsvik,64.8945,-23.7142,5.04,83,99,2.38,IS,1677961534
33,karratha,-20.7377,116.8463,29.1,73,95,4.28,AU,1677961311
34,mizdah,31.4451,12.9801,13.23,25,100,4.18,LY,1677961536
35,mar del plata,-38.0023,-57.5575,21.57,75,20,6.69,AR,1677961520
36,leningradskiy,69.3833,178.4167,-27.6,97,99,5.07,RU,1677961537
37,hami,42.8,93.45,6.88,30,11,3.29,CN,1677961538
38,pangnirtung,66.1451,-65.7125,-5.0,93,75,2.57,CA,1677961539
39,edgewater,28.9889,-80.9023,32.31,43,20,8.23,US,1677961169
40,beringovskiy,63.05,179.3167,-16.95,94,100,6.0,RU,1677961540
41,saint-philippe,-21.3585,55.7679,24.77,88,100,2.29,RE,1677961542
42,brazzaville,-4.2658,15.2832,27.91,68,77,0.79,CG,1677961543
43,cidreira,-30.1811,-50.2056,24.41,86,87,2.97,BR,1677961544
